symbol,side,signal_time,entry_time,exit_time,entry_price,initial_stop,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,r_multiple
RELIANCE,short,2026-05-19 11:30:00+05:30,2026-05-19 11:35:00+05:30,2026-05-19 11:45:00+05:30,1333.8328,1337.4,1338.0687,93,stop,-393.95,74.55,-468.49,-1.4122
AXISBANK,long,2026-05-19 11:40:00+05:30,2026-05-19 11:45:00+05:30,2026-05-19 12:00:00+05:30,1245.3223,1242.7,1242.0786,100,stop,-324.37,74.62,-398.99,-1.5215
KOTAKBANK,short,2026-05-19 10:50:00+05:30,2026-05-19 11:05:00+05:30,2026-05-19 12:15:00+05:30,388.0059,389.3,386.2578,322,target,562.88,74.79,488.09,1.1713
LT,long,2026-05-19 13:25:00+05:30,2026-05-19 13:30:00+05:30,2026-05-19 13:35:00+05:30,3958.9785,3946.8,3944.8266,31,stop,-438.71,73.51,-512.21,-1.3567
SBIN,long,2026-05-19 13:30:00+05:30,2026-05-19 13:35:00+05:30,2026-05-19 13:40:00+05:30,949.9747,948.2,947.7259,131,stop,-294.6,74.58,-369.18,-1.5879
HDFCBANK,short,2026-05-19 14:20:00+05:30,2026-05-19 14:25:00+05:30,2026-05-19 15:00:00+05:30,764.5675,766.25,762.4249,163,target,349.26,74.67,274.59,1.0013
ICICIBANK,short,2026-05-19 14:45:00+05:30,2026-05-19 14:50:00+05:30,2026-05-20 09:25:00+05:30,1241.8788,1245.4,1237.2151,100,target,466.36,74.37,391.99,1.1132
HDFCBANK,short,2026-05-20 10:40:00+05:30,2026-05-20 10:45:00+05:30,2026-05-20 11:10:00+05:30,756.4216,759.3,759.6796,165,stop,-537.58,75.05,-612.63,-1.2899
AXISBANK,long,2026-05-20 11:00:00+05:30,2026-05-20 11:05:00+05:30,2026-05-20 11:20:00+05:30,1243.4214,1239.7,1242.4784,100,stop,-94.3,74.58,-168.88,-0.4538
SBIN,long,2026-05-20 10:55:00+05:30,2026-05-20 11:00:00+05:30,2026-05-20 11:40:00+05:30,946.2729,942.0,947.0263,132,stop,99.44,74.97,24.47,0.0434
RELIANCE,long,2026-05-20 10:30:00+05:30,2026-05-20 10:35:00+05:30,2026-05-20 11:45:00+05:30,1333.4664,1324.7,1345.9429,93,target,1160.31,74.76,1085.55,1.3315
LT,long,2026-05-20 11:40:00+05:30,2026-05-20 11:45:00+05:30,2026-05-20 12:00:00+05:30,3944.9715,3937.0,3935.6313,31,stop,-289.55,73.29,-362.84,-1.4683
ITC,short,2026-05-20 13:10:00+05:30,2026-05-20 13:15:00+05:30,2026-05-20 13:20:00+05:30,306.5467,307.0,307.1535,407,stop,-246.98,74.93,-321.92,-1.7447
KOTAKBANK,long,2026-05-20 14:05:00+05:30,2026-05-20 14:10:00+05:30,2026-05-20 14:35:00+05:30,383.1915,382.3,383.0084,326,stop,-59.69,74.93,-134.62,-0.4632
TCS,short,2026-05-21 10:35:00+05:30,2026-05-21 10:40:00+05:30,2026-05-21 10:45:00+05:30,2315.8415,2322.3999,2323.5611,53,stop,-409.14,73.77,-482.91,-1.3893
KOTAKBANK,short,2026-05-21 11:10:00+05:30,2026-05-21 11:15:00+05:30,2026-05-21 11:25:00+05:30,381.859,382.5,382.6912,327,stop,-272.16,75.0,-347.16,-1.6561
RELIANCE,short,2026-05-21 10:30:00+05:30,2026-05-21 10:35:00+05:30,2026-05-21 11:25:00+05:30,1352.4234,1356.7,1353.0762,92,stop,-60.06,74.67,-134.73,-0.3424
INFY,short,2026-05-21 10:30:00+05:30,2026-05-21 10:35:00+05:30,2026-05-21 11:35:00+05:30,1185.8068,1190.0,1189.9947,105,stop,-439.73,74.84,-514.57,-1.1687
ITC,short,2026-05-21 11:40:00+05:30,2026-05-21 11:45:00+05:30,2026-05-21 12:00:00+05:30,306.9964,308.45,307.8038,407,stop,-328.61,75.07,-403.68,-0.6823
SBIN,short,2026-05-21 12:15:00+05:30,2026-05-21 12:25:00+05:30,2026-05-21 12:50:00+05:30,949.0253,951.6,950.475,131,stop,-189.92,74.65,-264.57,-0.7844
ICICIBANK,short,2026-05-21 12:35:00+05:30,2026-05-21 12:40:00+05:30,2026-05-21 13:00:00+05:30,1239.0801,1242.1,1235.1676,100,target,391.25,74.23,317.03,1.0498
AXISBANK,short,2026-05-21 12:35:00+05:30,2026-05-21 12:40:00+05:30,2026-05-21 13:20:00+05:30,1249.4749,1255.3,1250.2248,100,stop,-74.98,74.99,-149.98,-0.2575
HDFCBANK,short,2026-05-21 12:20:00+05:30,2026-05-21 12:25:00+05:30,2026-05-21 13:40:00+05:30,758.4206,760.95,757.5786,164,stop,138.08,74.59,63.5,0.1531
LT,long,2026-05-22 09:40:00+05:30,2026-05-22 09:50:00+05:30,2026-05-22 10:05:00+05:30,3945.5719,3933.7,3931.7331,31,stop,-429.0,73.26,-502.26,-1.3647
INFY,long,2026-05-22 10:30:00+05:30,2026-05-22 10:35:00+05:30,2026-05-22 10:55:00+05:30,1186.593,1181.9,1186.4065,105,stop,-19.58,74.75,-94.33,-0.1914
TCS,long,2026-05-22 10:30:00+05:30,2026-05-22 10:40:00+05:30,2026-05-22 10:55:00+05:30,2339.8693,2330.3,2329.1349,53,stop,-568.92,74.24,-643.16,-1.2681
RELIANCE,long,2026-05-22 11:40:00+05:30,2026-05-22 11:45:00+05:30,2026-05-22 12:25:00+05:30,1358.9792,1356.3,1357.321,91,stop,-150.9,74.15,-225.05,-0.9231
AXISBANK,long,2026-05-22 12:00:00+05:30,2026-05-22 12:05:00+05:30,2026-05-22 12:40:00+05:30,1278.2388,1276.1,1280.8063,97,target,249.05,74.47,174.58,0.8415
HDFCBANK,long,2026-05-22 12:50:00+05:30,2026-05-22 12:55:00+05:30,2026-05-22 13:15:00+05:30,771.3855,769.9,769.5151,162,stop,-303.01,74.89,-377.9,-1.5703
ICICIBANK,long,2026-05-22 11:40:00+05:30,2026-05-22 11:45:00+05:30,2026-05-22 13:15:00+05:30,1264.532,1260.3,1265.6669,98,stop,111.22,74.39,36.83,0.0888
KOTAKBANK,long,2026-05-22 13:30:00+05:30,2026-05-22 13:40:00+05:30,2026-05-22 13:55:00+05:30,385.9429,385.0,384.8075,323,stop,-366.73,74.69,-441.41,-1.4494
ITC,short,2026-05-22 14:25:00+05:30,2026-05-22 14:30:00+05:30,2026-05-22 15:10:00+05:30,302.7485,303.7,301.472,412,target,525.94,74.68,451.25,1.1511
AXISBANK,long,2026-05-25 11:35:00+05:30,2026-05-25 11:40:00+05:30,2026-05-25 11:55:00+05:30,1304.552,1301.6,1301.349,95,stop,-304.28,74.27,-378.55,-1.3498
SBIN,long,2026-05-25 11:35:00+05:30,2026-05-25 11:40:00+05:30,2026-05-25 12:00:00+05:30,964.9822,962.7,962.8183,129,stop,-279.14,74.61,-353.75,-1.2016
ITC,short,2026-05-25 11:25:00+05:30,2026-05-25 11:30:00+05:30,2026-05-25 12:55:00+05:30,303.4482,304.1,302.6217,411,target,339.68,74.73,264.95,0.989
HDFCBANK,long,2026-05-25 13:00:00+05:30,2026-05-25 13:05:00+05:30,2026-05-25 13:25:00+05:30,785.2925,782.9,783.9578,159,stop,-212.21,74.85,-287.07,-0.7546
LT,long,2026-05-25 14:00:00+05:30,2026-05-25 14:05:00+05:30,2026-05-26 09:25:00+05:30,4030.6144,4022.0,4024.4868,31,stop,-189.96,74.91,-264.87,-0.9918
KOTAKBANK,short,2026-05-26 09:45:00+05:30,2026-05-26 09:50:00+05:30,2026-05-26 10:15:00+05:30,389.6551,390.9,389.8448,320,stop,-60.72,74.83,-135.55,-0.3403
TCS,short,2026-05-26 09:55:00+05:30,2026-05-26 10:00:00+05:30,2026-05-26 10:30:00+05:30,2296.3513,2304.3,2299.0489,54,stop,-145.67,74.45,-220.12,-0.5128
HDFCBANK,long,2026-05-26 10:20:00+05:30,2026-05-26 10:25:00+05:30,2026-05-26 10:50:00+05:30,790.445,787.6,788.7554,158,stop,-266.95,74.85,-341.81,-0.7604
LT,long,2026-05-26 11:15:00+05:30,2026-05-26 11:20:00+05:30,2026-05-26 11:50:00+05:30,4050.024,4030.0,4038.5798,30,stop,-343.33,72.8,-416.12,-0.6927
AXISBANK,short,2026-05-26 11:05:00+05:30,2026-05-26 11:10:00+05:30,2026-05-26 12:20:00+05:30,1303.348,1309.3,1302.2508,95,stop,104.24,74.26,29.98,0.053
ITC,short,2026-05-26 11:55:00+05:30,2026-05-26 12:00:00+05:30,2026-05-26 12:55:00+05:30,301.949,302.8,301.8008,413,stop,61.18,74.8,-13.62,-0.0388
RELIANCE,short,2026-05-26 14:00:00+05:30,2026-05-26 14:10:00+05:30,2026-05-26 14:20:00+05:30,1355.5219,1358.3,1358.9792,92,stop,-318.08,74.92,-393.0,-1.5376
